names,lat,lon,geometry
Brigade Panorama bangalore,12.8870631,77.45370779999999,POINT (77.45370779999999 12.8870631)
SJR Palazza City bangalore,12.9046539,77.6984995,POINT (77.6984995 12.9046539)
Garuda Vista bangalore,12.9852446,77.6867056,POINT (77.6867056 12.9852446)
Sri Nandana Royal bangalore,12.8337182,77.70144359999999,POINT (77.70144359999999 12.8337182)
Vaishnavi North 24 bangalore,13.052728,77.59730499999999,POINT (77.59730499999999 13.052728)
Prestige West Woods bangalore,12.9776982,77.5647402,POINT (77.5647402 12.9776982)
Bren Champions Square bangalore,12.901324,77.70859449999999,POINT (77.70859449999999 12.901324)
Beverly Hills bangalore,12.8912793,77.5392322,POINT (77.5392322 12.8912793)
Arge Helios bangalore,13.0654977,77.65153649999999,POINT (77.65153649999999 13.0654977)
SOBHA Arena - The Park bangalore,12.8642033,77.53674,POINT (77.53673999999999 12.8642033)
GK Tropical Springs bangalore,12.9846992,77.7761359,POINT (77.7761359 12.9846992)
Gravity Nakshatra bangalore,13.073371,77.80411389999999,POINT (77.80411389999999 13.073371)
Brigade Cosmopolis - Phase 1 & 2 bangalore,12.9621546,77.7461421,POINT (77.7461421 12.9621546)
Gopalan Olympia bangalore,12.8753163,77.4501207,POINT (77.4501207 12.8753163)
Legacy Cirocco bangalore,13.087229,77.596148,POINT (77.596148 13.087229)
Vajram Tiara bangalore,13.1377116,77.5693818,POINT (77.5693818 13.1377116)
Century Ethos bangalore,13.0616882,77.5950079,POINT (77.5950079 13.0616882)
Frontier Heights bangalore,12.9055155,77.6756456,POINT (77.6756456 12.9055155)
Whitestone Rosario bangalore,13.013394,77.735935,POINT (77.735935 13.013394)
Casagrand Royce bangalore,13.0095427,77.7301136,POINT (77.7301136 13.0095427)
Sowparnika Purple Rose bangalore,13.0996181,77.81143430000002,POINT (77.81143430000002 13.0996181)
Casagrand Esmeralda bangalore,12.8356242,77.7668846,POINT (77.7668846 12.8356242)
Mahaveer Zephyr bangalore,12.900891,77.6193205,POINT (77.6193205 12.900891)
Valmark Orchard Square bangalore,12.870642,77.5860474,POINT (77.5860474 12.870642)
Purva Highland bangalore,12.8539676,77.54460170000002,POINT (77.54460170000002 12.8539676)
Vasathi Avante bangalore,13.0606229,77.62227829999999,POINT (77.62227829999999 13.0606229)
Brigade Lakefront - Amber Block bangalore,12.9789932,77.7113528,POINT (77.7113528 12.9789932)
Vajram Elina bangalore,13.0781,77.6373728,POINT (77.63737279999999 13.0781)
Gopalan Lake Front bangalore,12.8377608,77.6764512,POINT (77.6764512 12.8377608)
Shriram Southern Crest bangalore,12.9058075,77.5723024,POINT (77.5723024 12.9058075)
Bavisha Urban Homes bangalore,12.8594994,77.765354,POINT (77.765354 12.8594994)
Mantri Serenity bangalore,12.8869436,77.55137359999999,POINT (77.55137359999999 12.8869436)
Salarpuria Sattva Misty Charm bangalore,12.8638771,77.5432976,POINT (77.5432976 12.8638771)
Hara Vijaya Heights bangalore,12.8634786,77.526696,POINT (77.526696 12.8634786)
ELV KingsLand bangalore,12.9694606,77.7414335,POINT (77.7414335 12.9694606)
MBR Shangri La bangalore,12.9218502,77.4926026,POINT (77.4926026 12.9218502)
Keya Homes The Green Terraces bangalore,12.8220091,77.6563314,POINT (77.6563314 12.8220091)
SNN Clermont bangalore,13.0412129,77.60939789999999,POINT (77.60939789999999 13.0412129)
Mahaveer Turquoise bangalore,12.8672756,77.64419319999999,POINT (77.64419319999999 12.8672756)
TATA The Promont bangalore,12.9208104,77.5367614,POINT (77.5367614 12.9208104)
NVT Life Square bangalore,12.9754639,77.7639204,POINT (77.7639204 12.9754639)
Ozone WF48 bangalore,12.9954655,77.6948322,POINT (77.69483219999999 12.9954655)
Sobha Royal Pavilion bangalore,12.8962858,77.702125,POINT (77.702125 12.8962858)
Saiven Siesta bangalore,12.8888172,77.7683326,POINT (77.76833259999999 12.8888172)
Salarpuria Sattva Northland bangalore,13.082285,77.654127,POINT (77.654127 13.082285)
Legacy Eldora bangalore,13.102545,77.623708,POINT (77.62370799999999 13.102545)
Pride Enchanta Phase II bangalore,12.9478889,77.5353712,POINT (77.5353712 12.9478889)
Vriksha by Provident bangalore,12.9960104,77.48484119999999,POINT (77.48484119999999 12.9960104)
Mahaveer Cygnet bangalore,13.1024979,77.61716299999999,POINT (77.61716299999999 13.1024979)
Mahaveer Palatium bangalore,12.7579595,77.6143312,POINT (77.6143312 12.7579595)
Sashank Aavaas bangalore,13.1041866,77.5473949,POINT (77.5473949 13.1041866)
Brigade Woods bangalore,12.9783211,77.73385139999999,POINT (77.73385139999999 12.9783211)
Vaishnavi Oasis bangalore,12.8735596,77.56383249999999,POINT (77.56383249999999 12.8735596)
Bren Woods bangalore,12.8617047,77.6832261,POINT (77.6832261 12.8617047)
KVG Grandeur bangalore,13.0274574,77.6900306,POINT (77.6900306 13.0274574)
Godrej Air bangalore,12.9886656,77.71185009999999,POINT (77.71185009999999 12.9886656)
Bhartiya City Nikoo Homes II bangalore,13.085357,77.644525,POINT (77.644525 13.085357)
KVG Grandeur bangalore,13.0274574,77.6900306,POINT (77.6900306 13.0274574)
Vaishnavi Oasis bangalore,12.8735596,77.56383249999999,POINT (77.56383249999999 12.8735596)
NCN Swasthi bangalore,13.0187542,77.63059489999999,POINT (77.63059489999999 13.0187542)
Godrej Air bangalore,12.9886656,77.71185009999999,POINT (77.71185009999999 12.9886656)
Sashank Aavaas bangalore,13.1041866,77.5473949,POINT (77.5473949 13.1041866)
L&T Raintree Boulevard bangalore,13.0690275,77.59079919999999,POINT (77.59079919999999 13.0690275)
Aparna Elina bangalore,13.0200021,77.5518105,POINT (77.5518105 13.0200021)
Eden and Serene at Brigade Cornerstone Utopia bangalore,12.9344677,77.7439053,POINT (77.74390529999999 12.9344677)
Bren Woods bangalore,12.8617047,77.6832261,POINT (77.6832261 12.8617047)
DNR Casablanca bangalore,12.9941357,77.6892331,POINT (77.6892331 12.9941357)
Suvastu Oak Leaf bangalore,12.8810346,77.7602039,POINT (77.76020389999999 12.8810346)
Mahaveer Horizon bangalore,13.00245,77.708823,POINT (77.708823 13.00245)
DSMAX SKYCLASSIC bangalore,12.8178837,77.67089539999999,POINT (77.67089539999999 12.8178837)
Godrej Reserve bangalore,13.2417155,77.71373059999999,POINT (77.71373059999999 13.2417155)
GR Elysium 3 bangalore,13.0000972,77.7514952,POINT (77.75149519999999 13.0000972)
DSMAX SKYSCAPE bangalore,13.0550595,77.6830226,POINT (77.6830226 13.0550595)
Shri Sai Mounika Park Vesta bangalore,13.0415694,77.6487652,POINT (77.6487652 13.0415694)
Mahindra Lifespace Windchimes Phase II bangalore,12.88624,77.597681,POINT (77.59768099999999 12.88624)
Goyal Orchid Woods bangalore,13.0663138,77.6507041,POINT (77.6507041 13.0663138)
Sai Charan Hill View bangalore,12.8904203,77.5148337,POINT (77.5148337 12.8904203)
Prestige Kew Gardens bangalore,12.9481617,77.68094119999999,POINT (77.68094119999999 12.9481617)
Deccan Habitat bangalore,13.029479,77.545092,POINT (77.545092 13.029479)
Klassik Landmark Phase 2 bangalore,12.8956917,77.6775754,POINT (77.67757539999999 12.8956917)
Sobha Morzaria Grandeur bangalore,12.9339158,77.6019266,POINT (77.6019266 12.9339158)
Poorvi Shreenivasa Grand bangalore,12.885729,77.537075,POINT (77.537075 12.885729)
DSMAX SAVERA bangalore,12.9060634,77.5403467,POINT (77.5403467 12.9060634)
NVT Mystic Garden bangalore,12.7924016,77.7792542,POINT (77.7792542 12.7924016)
